"description","rationale_1","rationale_2","rationale_3","rationale_4"
"This is a request for a full-time recruiter to work with the greater community to recruit and retain students across all CTE programs at Fullerton College. The recruiter would also know and understand programs at NOCE and Cypress to support recruitment at those campuses as a secondary task. The first strategy is to fill existing CTE programs at Fullerton college. The recruiter will work diligently to communicate CTE pathways to both internal and external stakeholders. ","The faculty has ties to the local business community, but they do not have the time or the expertise needed to canvas the community to find new, diverse industry leaders to participate in CTE activities. This function requires an individual with skill sets that are not normally held among faculty or academic administration occupants. For example, this individual needs to be good a prospecting, selling, recruiting, and maintaining the positive participation of industry leaders in CTE activities including branding, standard setting, internships, externships and job placement. As a result of this position, more students would enter and complete CTE programs, have earned credentials, and complete career goals. The recruiter will add 5 to 10 new business partnerships with area businesses each year for the three years and 3 to 6 new partnerships per year for the next three years. At the end of the six year period, the college will have an overall increase of active business partnerships of 33 to 48. Each partnership must net at least one training agreement of one site for internship or hire a student completer.  ",\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
"De Anza College's Journalism program proposed to use Strong Workforce Program (SWP) funding to enhance curriculum to expand current and future students' repertoire of technical and communication skills into the fields of multimedia journalism and public relations. In addition, SWP funding will be used to provide supplemental tutoring and mentoring in the publications lab to enhance student success and outcomes.","As the media employment landscape continues to evolve, De Anza College's Journalism program needs to update, revise, and enhance its existing course offerings in order to remain relevant and prepare students for a range of careers in the field. Based on the evaluation of labor market data and advisory board input, De Anza's Journalism program will expand its offerings in the areas of public relations and multimedia reporting. A number of these program development activities have already commenced, with a  new course Introduction to Public Relations (JOUR 80) which is approved effective 2017-18. Journalism faculty also developed two new interdisciplinary certificate programs in Public Relations certificate programs. These are currently under review and scheduled to be offered starting in with the 2018-19 academic year. 

In addition to curriculum and and program enhancement, the Journalism program proposes to use SWP funds to enhance student retention and outcomes. Funding for part-time professional expert with expertise in multimedia journalism and technology will offer students in the Journalism Lab greater access to and support with software, equipment and course content for all Journalism courses. This support will enable the lab to remain open longer hours and give students increased access to multimedia equipment and software.

The Journalism program is also requesting a modest amount of SWP funding to develop and print an informational brochure to promote the program to a diverse population of potential students.
",\n,\n,\n
"The Landscape Horticulture program at Merritt College requests to use SWF funding to upgrade program equipment and develop non-credit courses and certificates. In addition, they will provide opportunities for student internships and plan outreach activities to our feeder high schools. ","The majority of our courses have outdoor labs requiring the use of professional equipment. The following programs are lab heavy: nursery management, parks and maintenance, landscape design and construction, and permaculture. Additionally we are launching a new Arboriculture program in the fall of 2018, that will require a large investment in equipment. We have 8 acres of lab sites, including two lathe houses, six greenhouses, an extensive trail network, and several acres of demonstration gardens (including a native plant hillside, a Redwood Grove, a bee garden, an extensive permaculture food forest, a succulent garden (in development), an orchard, and numerous interstitial zones. We need new equipment not just to keep up these areas, but to familiarize students with the tools they will be using in their jobs upon graduation. ",\n,\n,\n
"Provide lynda.com access for students with LinkedIn profiles to develop workforce readiness.","Meets the regional goal of assisting students with workforce readiness skills for employment in program of study.",\n,\n,\n
"Distribution for specific CTE programs.","Not required.",\n,\n,\n
"Hire marketing consultants to develop CTE program websites and program specific videos.","Increase awareness across the region within all of the program sectors of CTE pathway offerings.",\n,\n,\n
"Provide professional development opportunities for CTE faculty to demonstrate program improvement.","Not currently required by the region.",\n,\n,\n
"The goal of Natural History & Sustainability (NHS) is to provide education and job training to Bay Area students wanting a career in the environmental sciences. A 2010 report from the California Employment Development Department cited 432,840 green jobs statewide, with 120,030 of them in the Bay Area. The most relevant Industry Sectors are Agriculture/Water/Environmental Technologies, Education, Health, Life Science/Biotech, Small Business, and and Urban Development. ","The Bay Area is at the tip of the environmental movement's spear, a region where many environmentalism's best ideas and practices originate. From parks systems at multiple scales to non-profit think-tanks to innovators in food systems and sustainability, the bay areas environmental infrastructure is vast and thriving. The Centers of Excellence, a firm that provides labor market research for the CA Community Colleges, provides the following data, which includes the SOC codes and number of California jobs in 2018. NHS students will be eligible for these jobs:

11-9013: Farmers, Ranchers, and other Agricultural Managers: 36,327 jobs
11-9121: Natural Science Managers: 9,352 jobs
19-1011: Animal Scientists: 281 jobs
19-1012: Food scientists and technologists: 2,467 jobs
19-1013: Soil and plant scientists: 2,289 jobs
19-1023: Zoologists and wildlife biologists: 2,394 jobs
19-1029: Biological scientists: 7,738 jobs
19-1031: Conservation scientists: 1,392 jobs
19-1032: Foresters: 981 jobs
19-2041: Environmental scientists and specialists: 16,532 jobs
19-2043: Hydrologists: 692 jobs
19-3092: Geographers: 48 jobs
19-4021: Biological technicians: 13,615 jobs
19-4011: Agricultural and food service technicians: 3,637 jobs
19-4091: Environmental science and protection technicians: 4,608 jobs
19-4093: Forest and conservation technicians: 7,432 jobs
25-4013: Museum technicians: 1,471 jobs
33-3031: Fish and game wardens, 268 jobs
45-1011: First-line supervisors of farming, fishing, and forestry workers: 10,764 jobs
45-4011: Forest and conservation workers: 2,768 jobs

Three main categories:

1. Government Agencies, such as:
-City of Oakland (Dept of Public Works, which includes Environmental Services, and Dept of Parks and Rec)
-East Bay Regional Parks District; Note: EBRPD has 1,000 staff positions and 550 seasonal positions and expects 70% turnover in the next ten years due to retirement).
-East Bay Municipal Utility District
-Alameda County Water District
-San Francisco Public Utilities Commission
-California State Parks
-California Dept of Fish and Game
-US Geological Service
-Alameda County (Environmental and Natural Resources)
-Golden Gate National Recreation Area
-California Forest Service
-CA Environmental Protection Agency
-Bureau of Land Management
-U.S. Fish and Wildlife
-Marin County Parks

2. Non-profit organizations, such as:
-The Nature Conservancy
-Sierra Club
-Audubon Society
-Bay Nature
-Marine Science Institute
-San Francisco Zoo
-Oakland Zoo
-California Academy of Sciences
-Chabot Space and Science Center
-Save the Bay
-SF Estuary Institute
-SF Aquarium
-Youth Outside
-Outdoor Afro
-Latino Outdoors
-Lawrence Hall of Science
-Oakland Museum
-Muir Land Trust
-Earth Island Institute
-Ecocity Builders
-California Oak Foundation
-Friends of the SF Estuary
-Save the Redwoods
-Fiddleheads
-The Bay Institute
-Presidio Trust
-Peninsula Open Space Trust
-Sempervirens Fund
-CA Coastal Conservancy
-Ducks Unlimited
-Midpeninsula Regional Open Space District
-Citizens for Eastshore State Park
-Bay Area Open Space Council
-Food First
-City Slickers
-Urban Relief
-Edible Schoolyard
-Urban Tilth
-Greenbelt Alliance

3. Environmental Consulting Firms/Small businesses
-AECOM 
-URS Corp
-ESA
-CH2M Hill
-HNTB Corp
-ARCADIS
-Tetra Tech
-LSA Associates
-Weiss Associates
-Locus Technologies
-ERM Group
-Dig Deep Farms
-Shooting Star Organic Farm
-Fat Belly Farm
-Frog Hollow
-Top Leaf Farm
-Cultured
-Wildheart Gardens
-Far West Fungi Farm
-Ecopia Farms
-Food Forest Farm West
",\n,\n,\n
"The Medical Assisting program is responding to a local need in Oakland to provide Certified Nursing Assistant and home health care assistant. In addition we are upgrading our equipment and will be working closely with our advisory council to ensure our program curriculum meets industry standards and needs.","The medical assisting program (MEDAS) at Merritt college has been approached by various bay area health partners to develop a Certified Nursing Assisting program. There is a need in the Oakland community and because of our experience in the Medical Assisting program, we are in a position to support this opportunity. In order to continue move forward with this inititative we need to update our equipment, increase student workers to handle clerical duties and purchase software to simulate medical assisting and CNA diagnosis and patient reporting tasks. In addition, we need to purchase new and updated instructional equipment.  ",\n,\n,\n
"The Early Childhood Development program will develop wrap around advising and support for student seeking to complete the certificate and licensing requirements for employment in Child Development Educational positions. ","We are requesting funds to sustain and improve the highly successful CHDEV certificate and permit support program. This program began as a regional Alameda County collaboration; after 3 years of documenting the successful efforts to support students in completing certificates and licenses we are now proposing to institutionalize this program with Strong Work Force funding. Due to the services provided in this project, the number of certificates increased from 40 in 2012-13 to 289 in 2015-2016. The number of students receiving their CHDEV advisory guides also increased significantly within this time frame from 200 to over 300.
 
The successful increased completion is based on the critical duties of the CHDEV staff assistant. The position requires detailed knowledge of the certificate and licensing process and one-on-one advising and course completion planning with students. Because students in this area are in multiple classes together with the small set of the same faculty, they become in a sense a cohort where it is easier to require them to see the Staff Assistant in this position several times during a semester and thus maintain close contact and records. In addition, the position requires detailed tracking of data and knowledge of certificate, permit and licensing application procedures. 

Career Pathway #3
The CHDEV has developed a Career Pathways interactive map with multiple entry points from the CHDEV/Vessel ESL courses through the AST degree (please see attached).  With this map, the staff assistant will work with 500+ students in increasing the certification and licensing completion rates. Faculty on special assignment will do presentations in all Child Development classes and outreach to providers in Northern Alameda County. 
",\n,\n,\n
"In order to simulate the work environment for Nutrition and Dietetics staff our program will move forward with the purchase and implementation of ""Trajecsys"" cloud based clinical record-keeping system for Nutrition and Dietetics Program. ","Currently, students in the Supervised Practice portion of both programs tracks all activities and required documentation on paper (time sheets, competency scoring, preceptor evaluations, etc.) Trajecsys allows for all to integrated, electronic, giving students, internship sites, and program director access to the program. 

This technology will improve students' project based learning, data collection and analysis for internal instructional use as well as for external accreditation bodies. With the electronic system students will have greater access to their data and progress, and will lead to improved learning outcomes. This program will also help students transition to online data based systems used in employment opportunities associated with our program. ",\n,\n,\n
"This project is designed to bring in additional support to support the college's strategic goal #5 to increase and coordinate Workforce and Economic Development Activities that are designed to meet the needs of employers and improve student employment and success in career technical education programs.  The project will allow for the college to have the necessary leadership in place to develop the CTE programs to the level they need to be at.  ","West Hills College Coalinga (WHCC) currently does not have a Career Technical Education (CTE) Dean to manage the every day operations of all of the programs.  There is a high demand from the CTE faculty to receive assistance with expenditures planning and planning of new innovative programs that will bring additional opportunities for the residents of this service area.  The biggest need for WHCC is to have a dedicated administrator that will ensure that all of these projects are moving forward to to make sure that the faculty have the support necessary to get the new programs started.  ",\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
"Marketing, recruitment, and website support for all CTE programs.","The College has recognized the need for increased outreach, recruiting and support for all CTE programs. Funding from this project will increase marketing efforts and provide support for program recruiting events.",\n,\n,\n
"The purpose of this project is to provide non-credit programs for skill builder students who would like to attend West Hills College Coalinga to obtain additional skills to keep their employment or promote and earn higher wages.  The programs will provide an opportunity for students to obtain industry recognized credentials in Microsoft Office Suite (i.e. Word, Excel, Outlook, PowerPoint, Access), Adobe (i.e. Photoshop, Illustrator, InDesign), and other progams. ","Our services area has a need for individuals to become knowledgeable in computer programs that will help them enhance their opportunities for employment.  This program will provide the necessary tools for individuals to add badges/ certifications to their resume that will enhance their portfolio for employment.  The college is working on designing a testing center that will allow students to test on the different applications.  ",\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
"We are proposing to develop a Statistics/Data Science Pathway at West Valley College.  This pathway would allow students to complete all lower division pre-statistics requirements for transfer to a CSU, UC, or private universities.  We would develop and articulate curriculum for new coursework needed so that students could start major work as soon as they transfer.","According to a recent survey, an increasing number of employers in both the public and private sectors are adding jobs for statisticians and data analysts but are having a difficult time finding qualified candidates.   Fortune 500 identifies statistics as the fastest-growing STEM major in the US and LinkedIn recently listed data analysis as the most in-demand skill in a recent survey.  Currently there are not enough people with this background to fill the job demand.  The McKinsey Global Institute predicts a shortage of up to 190,000 people with the data analysis skills to work with “Big Data” and in a recent survey of employers conducted by the Society for Human Resource Management, 78% of survey respondents reported having difficulty recruiting qualified candidates for data analyst positions.

Statistics is one of the fastest growing degree programs at 4-year universities, and an increasing number of universities are adding majors or minors in data science as well.  Very few community colleges, however, have clear pathways into the statistics and data science majors.  Since community college serve close to ½ of all undergraduates in the US, including a majority of African-American and Hispanic students, it is vital that community colleges provide access to this growing career field to our students.  

Currently students can transfer into a statistics major; however, at many schools they would have to take additional classes before being able to start their upper division work.  We would develop and articulate curriculum for new coursework needed so that students could start major work as soon as they transfer.  In addition since, unlike many 4-year institutions, the community college does not have a separate Statistics Department the Statistics/Data Science Pathway would provide higher visibility to these majors, as well as opportunities to explore careers in these fields.  It would also be an excellent marketing tool for our college, as there are no colleges in our area that have this pathway.",\n,\n,\n
\n,\n,\n,\n,\n
"The CTE Counselor will provide academic and career counseling, career workshops, and administer interest inventories in efforts to increase pathways for CTE students from education planning to employment. The CTE Counselor will work with our CTE faculty in developing pathways to successful completion of a student's degree or certificate and onto employment in their career interest areas.  The CTE Counselor will develop further relationships schools and industry  partners.","Targeted Academic and Career Guidance - Academic counseling, education and career planning, interest inventories, liaison between CTE programs and counseling department; Outreach and partnerships - collaborate with local high schools to develop and education to career pathway for students interested in CTE and promote awareness of CTE programs at local K-12 district;  Promote employment readiness skills - implement and facilitate workshops related to employment, career, and job development.  ",\n,\n,\n
"This funding will be used to update and further promote the water resource management program currently being offered at Gavilan College.
","With increasing enrollment in the current program at Gavilan College we are needing updated and increased supplies and materials.",\n,\n,\n
"Develop additional pathways for Culinary students including hospitality management. Develop hospitality curriculum. Articulate with local universities. Work with high schools to strengthen pathways and recruiting.","Currently the Culinary Arts program has low numbers in completions of certificates and A.S. Degrees. Being able to offer multiple pathways like a hospitality management and culinary skills will allow us to increase the number of certificates and A.S. Degrees completed. The Culinary Arts program needs release time for faculty in order for them to develop a curriculum in Hospitality Management. Offering multiple certificates and classes will allow our students to increase their marketability and raise job opportunities in the job field. Adding courses in Hospitality will lead to high skilled, high paying jobs that are in demand. Hiring faculty that are capable and qualified to teach new courses that will be offered.",\n,\n,\n
"In Fall 2018, CCSF and Laney will begin offering the capstone courses for their Collaborative AV Technologist Certificate, a program developed with R1 SWP funding.  The project is now in its implementation phase and as we do so, we are documenting our process and experience to support others considering creation of regional programs of study. Enrollment in new courses for 2018-19 and 2019-2020.","The AV Tech Certificate Collaborative is the result of an industry partnership between AVIXA (formerly InfoComm), Laney, and CCSF to develop an updated program to meet workforce demand that currently has no supply. CCSF and Laney are collaborating because neither college has the full curriculum necessary to develop the new skills industry requires. While state initiatives encourage regional collaborations, there are no processes, system, and guidelines to support them. The first year of the project has been a learning experience that, thus far, has identified the opportunities and challenges to overcome in developing and implementing a cross-district program. With this second round of funding we will begin offering the program, and continue to invite partners who wish to create AV Tech programs (collaborative or otherwise) or are interested in leveraging what we've learned to create collaborative programs to meet industry demand in other sectors. In addition to its implementation, an outcome will be documentation of the regional collaboration process based on our experience and success.",\n,\n,\n
\n,\n,\n,\n,\n
"The Strong Workforce investment will be allocated to continue funding a full-time faculty position in Agribusiness, with an emphasis in food safety, who will continue to create and maintain new pathways to completion. These pathways include: industry recognized certificates, Associate of Science degrees and 2 + 2 baccalaureate degree partnerships with universities.","The Agricultural Science industry is in need of food safety workers and experts who understand and are able to implement the mandates of the Food Safety Modernization Act.  Data also shows that there is a need for more students graduating with Associate of Science degrees in food safety science, agribusiness, agricultural production, horticultural technician, small farm operations and management, and sustainable crop management. There is also a need to develop 2 + 2 degree programs leading to advanced degrees at four-year universities. Currently, there is a demand for 214 qualified candidates and the supply to meet this demand is currently only 24.  With food safety courses primarily taught by qualified practitioners working within the fresh fruit and vegetable industry, and private industry courses being cost prohibitive, student have limited access to food safety training and coursework. This project would build upon the progress that was made in the 2016-17 FY to expand food safety courses and develop new pathways to completion, certifications, degrees and 2 + 2 degree partnerships.",\n,\n,\n
"There is a need for diversity in STEM fields and a need for solutions to climate change. We will recruit students by providing them with exciting hands-on science experiences, which will increase their confidence, motivation, and inspiration. Many of the lab activities will involve
climate change, including citizen science collection of data important to assessing the impact of climate change in economically disadvantaged communities.","The Merritt Microscopy outreach program has been quite successful in increasing diversity in science
through exposure, inspiration and confidence building activities and events. We are seeking
funding to expand our work and to institutionalize it. Currently, it is dependent on the volunteer
efforts of several key faculty who are about to leave for grad school/retirement. We seek to
create a stable structure that can continue and be easily accessible to any interested faculty.
These funds support the creation of a STEM consortium with shared equipment for hands-on
activities that can be used in outreach and recruitment events, or in classrooms in high schools
and Colleges. The activities/labs will use a variety of imaging techniques and will include
modules on climate change, forensics, biology.

Funds will be spent on: key outreach equipment; development of protocols for inexpensive but
exciting activities using the equipment; workshops for training consortium faculty; web calendar
for shared use resources; student internships.",\n,\n,\n
"The Business and Real Estate departments have been requested to help to create a drone Academy. The drone Academy will have three initial partners Merritt college, Berkeley city college, Laney College.

The courses will be divided by videography – Berkeley City College and Laney College and the test prep and ground school will be the responsibility of Merritt college.
","From their origins in the military, drones are now appearing in many different industries, including real estate, filmmaking, and advertising. Companies such as Amazon and Google are testing ways to deliver packages via drone in the future, although federal rules for commercial drone delivery are not yet in place, and some cities are moving to restrict drone use. A 2013 report released by a trade group, the Association for Unmanned Vehicle Systems International, projected more than 100,000 new jobs in unmanned aircraft by 2025. Analysts at PricewaterhouseCoopers predicted last year that the global market for commercial applications of drone technology could reach $127 million by 2020. In addition, Merritt college houses a Homeland Security (Fire and Police) program that will be supported by this project.  This project is will be a collaboration of Merritt, Berkeley City and Laney Colleges. ",\n,\n,\n
"DevOps the use of software DEVelopment tools to automate Information Systems OPerations requires Knowledge Skills and Abilities (KSA) are too broad for a single college or district to
teach. DevOpsNation is a collaborative program which allows regional adaptation to rapidly changing technology via multi-college shared ownership and guided pathways increase
completion rates.

","DevOps is a software engineering culture and practice that aims at unifying software development (DEV) and software operations (OPS). The main characteristic of the DevOps movement is to strongly advocate automation and monitoring at all steps of software construction, from integration, testing, and releasing, to deployment and infrastructure management. DevOps aims at shorter development cycles, increased deployment frequency and more dependable releases in close alignment with business objectives. Many of the components of Information Systems (IS) infrastructure that is used to enable business operations are now available through a subscription model. Companies such as Microsoft, Google, and IBM provide hosted solutions in the form of: Infrastructure as a service (IAAS): a form of Cloud computing that provides virtualized computing resources over the internet. It provides high level Application Programming Interfaces (API) to control components such as Virtual Local Area Networks (VLAN) and Virtual Machines (VM) individually or as members of a pool. This permits creation of infrastructure that scales in response to usage. Software as a Service (SAAS): A licensing and delivery model in which software is centrally hosted. It si sometimes referred to as ""on-demand"" for many business applications including office software, messaging software, payroll processing software, CAD software etc. Platform as a Service (PAAS): A category of cloud computing that delivers pre-configured servers or resources permitting users to develop, run, and manage applications without the complexity of building, installing, configuring, and maintaining suites of information technology components. Each of these categories of Information Systems (IS) resources represents an aggregation of underlying Information Technology components: servers, software, configuration files, data files, VLANs, etc. In order to manage these new categories of IS resources, a student needs to have mastered the underlying technologies as well as the APIs that permit these services to be orchestrated. This is the task of the DevOps curriculum: Instructing students in the underlying IT components, Instructing them in the assembly of IT components into business ready Information Systems, and Instructing them in creation and control of these components using the APIs provided by many candidate service providers. DevOps is at the center of rapid transformation in software development and IT operations. An increasingly complex software development cycle, explosive growth in data, and distribution of services means that students must acquire Knowledge, Skills, and Abilities (KSA) that are too broad for any one college to teach and consistently update. This proposal combines DevOps applicable courses from participating colleges into a certificate and degree program. These courses stack onto the IT Model Curriculum in a guided pathway which has been shown to increase completion rates among African American and Hispanic/Latino students. Program will leverage shared BACCC Netlabs infrastructure to supplement existing pods and scenarios with new DevOps specific scenarios. Shared MOUs drive and secure enrollment at each college balancing supply and demand and leveraging other RJV investments. Fundamental to the success of our student-centered design is expanding the geography and breadth of curriculum through Bay Area regional community college collaboration. The shared DevOps curriculum follows the IT Curriculum model where program applicable courses can be implemented at participating college using the same outline. Colleges are encouraged to develop a specialty and implement courses beyond those that are part of the guided pathway. If a college has already implemented the ITMC, students who complete these courses have already earned program applicable credits towards a DevOps degree or certificate. The proposal aligns with several ""Projects in Common"" as identified by the state chancellor's office and provides opportunities to leverage other RJVs for direct student benefit. This proposal provides for more efficient employer engagement by coordinating input on program applicable curriculum through regional working groups. Participating employers then commit to providing Subject Matter Experts (SME) with the Knowledge, Skills, and Abilities (KSA) they want students enrolled in a course to gain. These SME are part of a regional pool available to participating colleges to co-teach as guest speakers with existing college faculty. This provides professional development opportunities for the faculty as they will likely be ready to teach the course alone after a few semesters of co-teaching with various SMEs. This provides the opportunity for each college to ""grow-their-own"" DevOps faculty and enables the relatively small pool of highly-skilled SME to have regional impact. The program also partners with regional organizations that have a mission-task focus on candidate interview readiness and placement. It leverages the work of <Tech/Hire>: Oakland, part of a national placement organization with regional branches that maintain a hyper-local focus on broadening access and placement of candidates from underrepresented demographics. They help employers align entry level positions with the program's KSA and provide material to counselors at participating colleges so they can properly advise students about career pathways. They also interface with the DevOps RJV interview readiness partner OutCo.io who prepare program candidates for technical interviews and provide support through the offer & salary negotiation phases of placement. The DevOps RJV avoids creation of prep and placement centers within each college or district instead relying on regional efforts that already exist. The work done for students by <Tech/Hire>: Oakland can be replicated to <Tech/Hire>: San Francisco or any of the 72 other regional <Tech/Hire> placement centers. The instruction will utilize shared infrastructure such as the Bay Area Community College Consortium (BACCC) Netlab. Some of the initial DevOps pathways consists of existing courses that are currently taught using Netlab. Other DevOps pathways that require VMs and VLANs that exceed the capacity of such a widely shared platform (28 Colleges simultaneously) will run on a separate shared network; a pilot with the intention of discovering the resource requirements that would enable DevOps VMs to be deployed on the next generation of BACCC Netlab infrastructure. The outcomes of this pilot will be shared with another RJV ""BACCC NETLAB+ Shared ICT Data Center"" The chosen partners for this RJV also share a mission for improving Diversity in Tech. <Tech/Hire> Oakland receives support from Opportunity@Work which has the mission of expand access. Opportunity@work is a national program that engages with regional <Tech/Hire> communities to transform hiring practices & uncover talent from nontraditional talent pools. Outco.io provides a software engineering technical interview and skill validation platform that includes options for a multi-week Tech+non-Tech curriculum. Once students are ready for placement the program provides for the acquisition of inter-personal skills necessary to land an offer. The guided pathway design for degree and certificate programs has been shown to increase completion and retention rates among African-American students by 33% and Hispanic/Latino students by 35%. The Collaborative DevOps Guided Pathway Regional Joint Venture puts all of the components in place to increase diversity in program participation and employment outcomes for this fast growing occupation.",\n,\n,\n
"Merritt College is required to re-certify its fire academy. The academy is considered the regional training center for fire training for Northern Alameda County. It prepares students from the Oakland area for jobs in the fire service. Fire service agencies are facing a wave of retirements. Merritt College’s student population will provide candidates for local fire departments from historically under- represented groups. ","Merritt College provides the diverse employee pool necessary for fire departments to reflect the under-represented demographics of their communities. From a social justice stand point we provide those candidates who can provide the best service to those who need it most in the bay area. This project will require the following requirements which will enhance our instruction and move us toward the types of employment opportunities and instructional strategies that are the foundation of the “Doing What Matters” strategy at the California Community College Chancellor’s office. We are motivated to access funding to organize the following projects essential to this accreditation process.",\n,\n,\n
"A series of Summer Workshops will be developed and deployed at the Genomics Laboratory located in the Peralta Science Annex at 860 Atlantic Ave in Alameda.  This collaboration is between Merritt College, the College of Alameda, the Alameda Unified School District, as well as other school districts.  This program will provide a bridge for students into the fall semester, and target historically under represented students who normally who not have exposer to this are of science.

","A lack of diversity in STEM fields has lead to a local collaboration to increase the number of historically under-represented student from our local high schools into our BioSci program by developing a summer bridge program.

 This collaboration is between Merritt College, the College of Alameda, the Alameda Unified School District, as well as other school districts.  This program will provide a bridge for students into the fall semester, and target historically under represented students who normally who not have exposer to this are of science.

Three Summer Workshops are proposed:

I.  Technology in DNA Science with Genomics:  Past, Present and Future
One week, Monday to Friday 9AM to 5PM (8 hours per day)

II.  Evolution of the Planet with DNA and Plate Tectonics
Two Saturday/Sunday weekends 9AM to 5PM (8 hours per day)

III. Careers in DNA Sciences: Fast growing Technology in Genomics
One week, Monday to Friday 9AM to 5PM (8 hours per day)
",\n,\n,\n
"Merritt College has developed an administrative and  team to help faculty plan, manage and report Strong workforce projects. We will utilize SWF funds to partially support the salaries of these individuals while our college transitions the positions to general funds. ","Merritt College has reorganized its resources to better serve Career Educational programming at our college. In order to be better stewards of our SWF projects, we are developing an administrative team as infrastructure to support the work of Strong Workforce. This team includes the following individuals who will work a significant amount of their work time on SWF project management, including but not limited to: Assisting faculty with proposal submission, budget creation and management, purchasing and acquisitions, follow up reporting, tracking of outcomes, project management, outreach and the development of work-based learning opportunities. The College has historically had difficulty managing large complex projects and spending down resources to meet student need. We have also lacked consistent leadership that focuses on CE programs. In order to manage the multiple projects related to our CE programs, Merritt College needs an operational manager (the Associate Dean) to help faculty and staff implement their plans, process paperwork, and follow-up on the same.. An employment specialist can help expand outreach effort at our high schools and work with our industry leaders to create opportunities for work-based learning. The college has struggled to process the increase in employee, budget transfer and purchase requisitions associated with SWF. The added clerical staff will provide better and faster support for faculty associated with SWF initiatives. 


",\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
"The Chabot College Safety Aide Program is an internship and mentoring program with the goal to provide real time experience in public safety careers.  Participants will obtain public safety training, mentoring from career safety officers, and apply enhanced skills to career experiences.  
The program mission is consistent with the 2015 California Community Colleges Board of Governors Task Force Recommendations to  ""…broaden and enhance career exploration and planning, work-based learning.","Employment in law enforcement of police is projected to grow 7 percent from 2016 to 2026, about as fast as the average for all occupations.  Recent discussions with local law enforcement organizations within the San Francisco Bay Area, reveals a growing shortage of qualified candidates.  Critical skills required include interpersonal communication, critical thinking, and report writing.  This project will enhance each of these skills through experience and continual training.  Training will include workshops with experienced professional who will provide knowledge and perspectives regarding the numerous law enforcement and public safety occupations. ",\n,\n,\n
\n,\n,\n,\n,\n
"There are new training expectations as put forth by the updated NFPA 1001 regulations.  The purchase of additional equipment, such as a Level II Burn Container, will train fire technology students on interior fire attack, thus meeting the new training standard. ","No training facility in the Morongo Basin has this training prop for students and area firefighters to train to maintain skill proficiency and/or learn new fire tactics.  The purchase of additional equipment, such as a Level II Burn Container, will train fire technology students on interior fire attack.",\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
"San Jose City College would like to build out the Career Cafe Center to service CTE Students with employment readiness. We would like to offer workshops, career exploration, and industry mentoring.","San Jose City College has over 6,000 students enrolled in a CTE program.  Currently, we do not have a Career Readiness Center focusing on CTE.",\n,\n,\n
\n,\n,\n,\n,\n
"Describe how proposed investment will (1) satisfy need/demand in industry sector, (2) how it will increase/improve training outcomes. Make sure to address one or more of the four Strong Workforce Program metrics: Enrollments, Completion/Transfer, Employment, and/or Earnings. Identify service area and occupation(s) targeted using references to supporting data provided on following section. (500-word limit).","This test is for experimenting and learning.",\n,\n,\n
"This is a proposal to create a new Instructional Lab Technician position for the Department of Design and is intended to serve the areas of: Architecture, Landscape Architecture, Interior Design, Apparel Design, Apparel Technology, Web and Mobile Design, Marketing and Digital Communications, and Graphic Design.  The position will support all students in these CTE areas.","Generally, the Department of Design labs are under-utilized by and inaccessible to the students. Each lab contains complex equipment, both analog and digital. For example, The Fashion Design Computer Pattern making Lab  is currently open only when classes are held. No additional lab hours are available for students to practice their skills outside the regularly scheduled class hours.  Students must spend time on their homework, but the equipment needed to complete most of this homework is in this lab, thus preventing students from completing their work.   The un-availability of lab hours causes unnecessary hardship for students, especially those who are academically challenged, have learning disabilities, students from low socio-economic background, or just need more practice than the norm. In order to ensure student success and completion, it is crucial for the department to offer significant additional lab hours outside the class time. This proposal directly contributes to the College's mission of supporting students in reaching their career goals. 

Right now, we do have a Design Resource Lab (DRC), but this lab serves primarily Architecture and Interior Design students. It is intended to be expanded to serve Digital Media students as well. This lab is underutilized due the inability of these departments having no time to create a highly productive space for students to work in. Monitoring student needs and computer equipment would be the primary job in this space. We plan to add additional digital equipment in this space to expand student output capacity and will need direct supervision. An example would be the addition of a rack of 3D printers which require staff to ensure proper operation and to prevent damage by well-intentioned students. Additionally, this position would assist students and faculty in maintaining their material libraries.

With ?ve computer classrooms, we will use a portion of this position to make sure these classrooms are in good operating order. We have coordinated this request with WVC IT and they have agreed that it would work better if there was one contact person that the teaching faculty go to with issues confronting each individual lab classroom.

We feel by hiring this new Design Lab Tech, our students would be more successful in their chosen fields of study, thereby increasing completion, transfer and job placement rates.",\n,\n,\n
\n,\n,\n,\n,\n
\n,\n,\n,\n,\n
